,"de-AT, de-DE, de-CH",,,en-GB,,,en-US,,,en-AU,,,fr-FR,,,it-IT,,,nl-NL,,,es-ES,,,nb-NO,,,Polish,,,ru-RU,,,sv-SV,,,da-DA,,,es-MX,
,Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Version 1.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Ready to go,,,Ready to go,,,Ready to go,,,,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,
,HomeToGo: Urlaub im Ferienhaus & Ferienwohnung,46,,HomeToGo: Holiday Lettings & Apartments,39,,HomeToGo: Vacation Rentals & Houses,35,,HomeToGo: Holiday Rentals & Houses,34,,"HomeToGo : Locations de vacances, maisons et gites",50,,"HomeToGo: Affitti, case e appartamenti vacanza",46,,HomeToGo: Vakantiehuizen & appartementen huren,46,,HomeToGo: Alquileres vacacionales y casas rurales,49,,HomeToGo: Feriehus & Ferieleilighet,49,,"HomeToGo: Domki letniskowe i apartamenty",41,,HomeToGo - сравнивайте более 7 миллионов предложений аренды жилья для отдыха,76,,HomeToGo: Semesterboenden & Ferielägenhet,41,,HomeToGo: Ferieboliger & Ferielejligheder,41,,HomeToGo: Alquileres vacacionales y casas rurales,49
Keywords,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Draft,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,
,"ferienwohnungen,ferienhäuser,homeaway,fewo,finca,casamundo,novasol,airbnb,ostsee,frühbuchen,home2go",99,,"holiday,rental,flat,holidays,booking,homeaway,interhome,homestay,airbnb,roomarama,catering,home2go",98,,"vacation,apartment,homeaway,homestay,airbnb,deals,tripping,rooms,florida,diego,hawaii,south,home2go",99,,"holiday,apartment,homeaway,vacation,homestay,airbnb,deals,stayz,bookabach,rooms,bali,sydney,zealand,thailand",108,,"appartements,airbnb,abritel,férié,studio,logement,résidence,voyage,maisons,villas,home2go,espagne",97,,"airbnb,alloggi,booking,tripadvisor,home2go,prenota,venere,agriturismo,confronta,villa,siti,liguria",98,,"vakantie,appartement,huisjes,airbnb,huis,verblijf,home2go,vergelijk,park,vakantiewoningen,huur,deals",100,,"vacaciones,apartamentos,airbnb,alojamientos,booking,tripadvisor,escapada,comparador,buscador,home2go",100,,"ferieleie,villa,airbnb,losji,ferievilla,sommerhus,hytte,homeaway,feriebolig,hus,leilighet,bungalow",100,,"noclegi, pokoje, domki, apartamenty, wakacje, urlop, morze, Polska, airbnb, trivago, kwatery",92,,"дом отдыха,booking.com,квартиры посуточно,квартира,airbnb,коттедж на сутки,вилла,homeaway,дом,9flats",100,,"semester,lägenhet,booking,dansommer,fejoDk,novasol,dancenter,rum,feriehus,bostad,hus,bungalow,stuga",99,,"ferie,solOgStrand,eDomizil,homestay,airbnb,novasol,værelser,feriehytte,bungalow,sommer,strand,cofman",100,,"vacaciones,apartamentos,airbnb,alojamientos,booking,tripadvisor,escapada,comparador,buscador,home2go",100
What's New ,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,,,,Ready to go,,,Draft,,,Ready to go,,,Ready to go,,,Draft,,,Draft,,,Ready to go,
,"- Wo immer Sie sind mit HomeToGo: Sie können sich nun mit Facebook und Google anmelden
- Genießen Sie die verbesserte Nutzerfreundlcihkeit und weniger Fehlermeldungen",,,"- Get social with HomeToGo: you can now log in with Facebook and Google
- Enjoy better usability and fewer bugs",,,"- Get social with HomeToGo: you can now log in with Facebook and Google
- Enjoy better usability and fewer bugs",,,"- Get social with HomeToGo: you can now log in with Facebook and Google
- Enjoy better usability and fewer bugs",,,"- Où que vous soyez, vous pouvez maintenant vous connecter en quelques secondes avec Facebook et Google
- L'app est plus facile d'utilisation et des bugs ont été résolus",,,"- Diventa social con HomeToGo: ora è possibile accedere con Facebook e Google
- Godetevi la migliore usabilità e meno bug ",,,"- Vanaf nu is het mogelijk om in te loggen met Facebook en Google
- Geniet van de verbeterde bruikbaarheid en minder programmeerfouten",,,"- Estés donde estés y a la hora que sea, encuentra tu alojamiento ideal con HomeToGo: conéctate ya desde tu cuenta de Facebook y Google
- Disfruta de una mejora en la usabilidad de la aplicación y menos errores",,,"-Sosialiser med HomeToGo: du kan nå logge inn med Facebook og Google
-Nyt bedre brukervennlighet og færre bugs",,,,,,"- Будьте всегда на связи: теперь вы можете войти на HomeToGo с помощью аккаунтов в Facebook и Google
- Наслаждайтесь удобным юзабилити и меньшим количеством багов",,,"-Socialisera med HomeToGo: du kan nu logga in med Facebook och Google
-Njut av bättre användbarhet och färre buggar",,,"-Vær social med HomeToGo: Du kan nu logge ind med Facebook og Google
-Nyd bedre brugervenlighed og færre bugs",,,"- Estés donde estés y a la hora que sea, encuentra tu alojamiento ideal con HomeToGo: conéctate ya desde tu cuenta de Facebook y Google
- Disfruta de una mejora en la usabilidad de la aplicación y menos errores",
Description,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Ready to go,,,Draft,
